# Temperatura_=_24.924242424242426
# Concentracion g/m^3_=_11700.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_135605.7453050577
# Promedio de 33 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-1.041971e-08	-3.077549e-09	-5.695590e+01	-8.431621e+02
1.000000e-08	-1.041927e-08	-3.077882e-09	-5.695329e+01	-8.432558e+02
2.000000e-08	-1.041805e-08	-3.078618e-09	-5.694647e+01	-8.434650e+02
3.000000e-08	-1.041613e-08	-3.079036e-09	-5.693578e+01	-8.435663e+02
4.000000e-08	-1.041354e-08	-3.078810e-09	-5.692147e+01	-8.434929e+02
5.000000e-08	-1.041029e-08	-3.078728e-09	-5.690351e+01	-8.434513e+02
6.000000e-08	-1.040627e-08	-3.078601e-09	-5.688132e+01	-8.433918e+02
7.000000e-08	-1.040147e-08	-3.079318e-09	-5.685484e+01	-8.436131e+02
8.000000e-08	-1.039589e-08	-3.082013e-09	-5.682412e+01	-8.443958e+02
9.000000e-08	-1.038937e-08	-3.081150e-09	-5.678821e+01	-8.440397e+02
1.000000e-07	-1.038175e-08	-3.071877e-09	-5.674625e+01	-8.413096e+02
1.100000e-07	-1.037293e-08	-3.068344e-09	-5.669775e+01	-8.405319e+02
1.200000e-07	-1.036307e-08	-3.083495e-09	-5.664357e+01	-8.449795e+02
1.300000e-07	-1.035277e-08	-3.101401e-09	-5.658714e+01	-8.498512e+02
1.400000e-07	-1.034239e-08	-3.085564e-09	-5.653043e+01	-8.447565e+02
1.500000e-07	-1.033136e-08	-3.053180e-09	-5.646991e+01	-8.356944e+02
1.600000e-07	-1.031926e-08	-3.071419e-09	-5.640347e+01	-8.420138e+02
1.700000e-07	-1.030664e-08	-3.106989e-09	-5.633436e+01	-8.515212e+02
1.800000e-07	-1.029367e-08	-3.081583e-09	-5.626339e+01	-8.429644e+02
1.900000e-07	-1.027979e-08	-3.050147e-09	-5.618719e+01	-8.351919e+02
2.000000e-07	-1.026496e-08	-3.082322e-09	-5.610585e+01	-8.455614e+02
2.100000e-07	-1.024968e-08	-3.100205e-09	-5.602222e+01	-8.491203e+02
2.200000e-07	-1.023377e-08	-3.058800e-09	-5.593509e+01	-8.365459e+02
2.300000e-07	-1.021684e-08	-3.057484e-09	-5.584226e+01	-8.379132e+02
2.400000e-07	-1.019918e-08	-3.096756e-09	-5.574554e+01	-8.488351e+02
2.500000e-07	-1.018092e-08	-3.079128e-09	-5.564558e+01	-8.422419e+02
2.600000e-07	-1.016168e-08	-3.050803e-09	-5.554016e+01	-8.354795e+02
2.700000e-07	-1.014145e-08	-3.080425e-09	-5.542932e+01	-8.450078e+02
2.800000e-07	-1.012048e-08	-3.085675e-09	-5.531453e+01	-8.449801e+02
2.900000e-07	-1.009868e-08	-3.048752e-09	-5.519511e+01	-8.345756e+02
3.000000e-07	-1.007608e-08	-3.064067e-09	-5.507134e+01	-8.403991e+02
3.100000e-07	-1.005290e-08	-3.089451e-09	-5.494455e+01	-8.463200e+02
3.200000e-07	-1.002900e-08	-3.057254e-09	-5.481366e+01	-8.361016e+02
3.300000e-07	-1.000426e-08	-3.051493e-09	-5.467822e+01	-8.360028e+02
3.400000e-07	-9.978958e-09	-3.089815e-09	-5.453980e+01	-8.467395e+02
3.500000e-07	-9.953053e-09	-3.076702e-09	-5.439802e+01	-8.415209e+02
3.600000e-07	-9.926300e-09	-3.049990e-09	-5.425151e+01	-8.351769e+02
3.700000e-07	-9.898803e-09	-3.079129e-09	-5.410099e+01	-8.443333e+02
3.800000e-07	-9.870664e-09	-3.084422e-09	-5.394699e+01	-8.444037e+02
3.900000e-07	-9.841762e-09	-3.051981e-09	-5.378880e+01	-8.357349e+02
4.000000e-07	-9.812035e-09	-3.065204e-09	-5.362608e+01	-8.406956e+02
4.100000e-07	-9.781478e-09	-3.075892e-09	-5.345884e+01	-8.424881e+02
4.200000e-07	-9.750045e-09	-3.047788e-09	-5.328679e+01	-8.346346e+02
4.300000e-07	-9.717819e-09	-3.055223e-09	-5.311045e+01	-8.379236e+02
4.400000e-07	-9.684931e-09	-3.073220e-09	-5.293049e+01	-8.419847e+02
4.500000e-07	-9.651436e-09	-3.053962e-09	-5.274724e+01	-8.362686e+02
4.600000e-07	-9.617352e-09	-3.051018e-09	-5.256077e+01	-8.364667e+02
